StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Intro,Age,RStatus,AmazonTime_First Click,AmazonTime_Last Click,AmazonTime_Page Submit,AmazonTime_Click Count,AQ1,AQ2,AQ3,AQ4,GlomarMusicTime_First Click,GlomarMusicTime_Last Click,GlomarMusicTime_Page Submit,GlomarMusicTime_Click Count,GMQ1,GMQ2,GMQ3,GMQ4,MusicEffectGlomar,AmazonMusicTime_First Click,AmazonMusicTime_Last Click,AmazonMusicTime_Page Submit,AmazonMusicTime_Click Count,AMQ1,AMQ2,AMQ3,AMQ4,MusicEffectAmazon,GlomarTime_First Click,GlomarTime_Last Click,GlomarTime_Page Submit,GlomarTime_Click Count,GQ1,GQ2,GQ3,GQ4,Habit,Proficiency,Region,SC0,SC1,SC2,SC3,SC4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Introduction



This questionnaire uses Qualtrics. The University of Amsterdam (UvA) is committed to protecting your privacy. The University of Amsterdam has a privacy statement, which can be read here.



The objective of this questionnaire/study is to collect information for The Data Science of Everyday Music Listening, a seminar for honours students at the University of Amsterdam.



Questionnaire



The purpose of the questionnaire is to assess the effects of listening to music on reading comprehension.



You are being asked to complete two short reading tasks, after which you will be asked to answer 4 multiple choice questions about the given passages. You will have to listen to some background music while reading one of the two passages. The music will play automatically for one of the two passages you will be shown, as soon as you start reading.



Confidentiality



If you have any questions at a later stage, desire additional information or wish to withdraw your consent, please get in touch with Shreesha Srinivas (shreesha.srinivas@student.uva.nl) by email. By selecting ‘Yes’ below, you agree that the above information has been explained to you and that your questions have been answered. You understand that you may ask questions in future about every aspect of this study. By completing and signing this form, you agree to participate in this study.



Do you agree to the details set out in the consent form?",What is your age?,What is your current status?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is the purpose of the toxins secreted by poison dart frogs?,How do the Emberá and Chocó tribes utilize the toxins of poison dart frogs?,What is the connection between the diet of poison dart frogs and their toxicity?,Why are the bright colors of poison dart frogs considered a form of aposematism?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"According to the passage, which of the following was responsible for the evaporation of the Mediterranean's waters?","According to the passage, what caused most invertebrate species in the Mediterranean to become extinct?","What type of organisms returned to the Mediterranean after the deluge, according to the passage?",What caused the destruction and fragmentation of the hardened salt flats in the Mediterranean?,What effect did the music have on your reading performance?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is the purpose of the toxins secreted by poison dart frogs?,How do the Emberá and Chocó tribes utilize the toxins of poison dart frogs?,What is the connection between the diet of poison dart frogs and their toxicity?,Why are the bright colors of poison dart frogs considered a form of aposematism?,What effect did the music have on your reading performance?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"According to the passage, which of the following was responsible for the evaporation of the Mediterranean's waters?","According to the passage, what caused most invertebrate species in the Mediterranean to become extinct?","What type of organisms returned to the Mediterranean after the deluge, according to the passage?",What caused the destruction and fragmentation of the hardened salt flats in the Mediterranean?,Do you usually listen to music while reading or studying\working?,What is your level of proficiency in English?,What region are you from?,Score,AmazonMusicTime,AmazonTime,GlomarMusicTime,GlomarTime
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID44_FIRST_CLICK""}","{""ImportId"":""QID44_LAST_CLICK""}","{""ImportId"":""QID44_PAGE_SUBMIT""}","{""ImportId"":""QID44_CLICK_COUNT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32""}","{""ImportId"":""QID34""}","{""ImportId"":""QID28""}","{""ImportId"":""QID22""}","{""ImportId"":""QID37_FIRST_CLICK""}","{""ImportId"":""QID37_LAST_CLICK""}","{""ImportId"":""QID37_PAGE_SUBMIT""}","{""ImportId"":""QID37_CLICK_COUNT""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID57""}","{""ImportId"":""QID19_FIRST_CLICK""}","{""ImportId"":""QID19_LAST_CLICK""}","{""ImportId"":""QID19_PAGE_SUBMIT""}","{""ImportId"":""QID19_CLICK_COUNT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID25""}","{""ImportId"":""QID27""}","{""ImportId"":""QID36""}","{""ImportId"":""QID15""}","{""ImportId"":""QID24""}","{""ImportId"":""QID35""}","{""ImportId"":""SC_eRuhPaFf9MKhQH4""}","{""ImportId"":""SC_5o1q7CIGeqQq8ey""}","{""ImportId"":""SC_3ypW6xgZYcRx97U""}","{""ImportId"":""SC_b14OOl6MDkNGPau""}","{""ImportId"":""SC_07h1o2FSVTp9mui""}"
2023-12-31 11:41:06,2023-12-31 11:41:34,Survey Preview,,100,27,True,2023-12-31 11:41:35,R_5PjCeQWc0Hbifap,,,,,52.3766,4.835,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
2023-12-31 12:34:54,2023-12-31 12:35:30,Survey Preview,,100,35,True,2023-12-31 12:35:31,R_5TNJexeoGe62tkh,,,,,52.3766,4.835,preview,EN,Yes,25-34,Student,,,,,,,,,3.349,13.684,16.812,13,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
2023-12-31 12:44:18,2023-12-31 12:45:45,Survey Preview,,100,87,True,2023-12-31 12:45:46,R_5tFP9m4nwmcMp0t,,,,,52.3766,4.835,preview,EN,,,,,,,,,,,,0,0,26.566,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
2023-12-31 14:02:40,2023-12-31 14:02:54,Survey Preview,,100,14,True,2023-12-31 14:02:55,R_5lKDK0y8nNutYVH,,,,,52.3766,4.835,preview,EN,Yes,19-24,Student,,,,,,,,,1.549,1.549,3.897,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
2023-12-31 14:11:43,2023-12-31 14:12:06,Survey Preview,,100,22,True,2023-12-31 14:12:07,R_5gj7hVyHWP7RaOs,,,,,52.3766,4.835,preview,EN,Yes,19-24,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
2023-12-31 16:08:43,2023-12-31 16:09:11,Survey Preview,,100,28,True,2023-12-31 16:09:12,R_5HMq6bQYKyFqhWN,,,,,52.3766,4.835,preview,EN,Yes,25-34,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
2023-12-31 16:09:58,2023-12-31 16:10:13,Survey Preview,,100,15,True,2023-12-31 16:10:15,R_5Gvn5YKrS83YzH6,,,,,52.3766,4.835,preview,EN,No,25-34,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.808,0,,,,,,,,0,0,0,0,0
2023-12-31 16:17:46,2023-12-31 16:17:51,Survey Preview,,100,4,True,2023-12-31 16:17:52,R_5hrhjImXyZSgRih,,,,,52.3766,4.835,preview,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
